France,Luxembourg,Netherlands,Germany,Italy,United Kingdom,Ireland,Denmark,Greece,Portugal,Spain,Sweden,Finland,Austria,Malta,Estonia,Latvia,Lithuania,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Cyprus,Bulgaria,Romania,Croatia,Iceland,Norway,Switzerland,Turkey,Ukraine,Russia,Other European countries
1831.3,211.2,1231,1837.3,525,737.1,32.2,85.7,58.9,66.1,279.1,125.7,41.1,83.9,2.2,2.2,1.2,2.8,46.2,26.6,5.8,23.9,7.2,3.7,4.5,4.4,4.6,1.3,25.6,122.4,42.7,5.6,50.8,5.8
1734,232.8,1213.6,1952.4,546.6,756.5,35.5,85.8,57,78.3,292.2,130.1,40.7,92,2.7,2.8,2.1,3.4,43.8,28.6,5.7,25.5,6.9,4.8,5.8,6.9,4.9,1.9,72.8,176.8,40.8,7.1,65.4,3.6
1943.3,272.5,1407.9,2291.9,591,866.4,44.4,101.7,65.9,85.7,323.4,173.9,51.4,115.6,4.3,3.3,3.3,3.4,55.4,36,8.9,35.1,10.3,8,7.7,9.6,7.2,2.5,42.9,211.1,60.6,13.7,54.3,10.2
1679.6,232,1226.1,1893.3,452,721.7,36,81.2,47.4,62.8,260.6,117.3,41.6,92.3,1.9,2.9,2.7,3,46.6,28.7,6.3,25.5,9,4.1,6.4,6.3,6.5,2.3,33.6,162,51.6,11.2,37.8,5.5
1779.9,239.9,1286.4,2071.9,531.1,797.4,36.1,89.9,51.8,70.9,258.9,124.3,41.3,104.4,2.3,2.3,4.5,2.2,58,33,7.7,24.7,10.7,4.8,4.4,8,6.6,1.8,43.4,172.3,49.6,5.3,41.7,7.6
1921.3,241,1387.6,2044.3,532.7,898.5,40,98.4,56.8,74.8,260.9,146.2,44.6,96.8,2.9,2.3,2.8,2.5,62.4,42.1,18.7,27.7,11.3,4.2,5.5,9.5,5.6,2.1,47.5,195.6,54.7,6.8,56,8.2
1526,213.5,1004,1554.1,398,636.1,27.9,64,43.8,55.9,223.9,73.7,29.1,71.1,2.4,1.7,2.6,2.1,47.6,27,13.7,20.9,7.7,3.6,4.7,9.6,4.5,2.2,26.4,143.5,44.5,4.2,44.3,7.2
1334.6,207.2,1183.2,1759,274.1,655.8,29.5,82.9,38.9,53.4,190.4,117.3,40.7,81.7,5.8,1.9,4.4,3.1,47.3,28.9,4.7,22.8,6.4,2.8,5.3,8,4.6,1.4,36.8,147.7,50.1,8.2,52.7,6.3
1823.2,219.3,1432.3,2039.1,538.5,773,55.6,95.3,56,73.7,279.1,135.5,43.4,96.7,2,2.9,3.8,3.4,64.1,33.5,8.9,25.8,9,3.6,5.3,9.4,6.2,2.4,41.2,190.6,50.2,9.5,70.9,8.2
1831.3,230.6,1405.6,2084.9,559.8,849.6,32.4,95.6,54.5,71.9,286.6,145.7,43.5,99,6.6,3.1,3.9,3.4,65.2,34.7,18.5,26.4,10.3,5.5,7.5,8.5,6.6,2.1,42.4,175.3,68.2,9.2,82.1,9
1744.7,219.9,1364.4,1960.3,539,840.4,38,93.6,53.4,69.9,265.2,140.4,54.8,95,3.2,2.8,3.2,3.4,61.7,40,8.7,25.5,9.3,3.8,6.6,8.3,6.6,2.1,37.5,160.1,69.3,9.8,84.4,7.6
1574.5,222.1,1172.2,1705.5,434.2,587.9,30,79.9,50.5,63.6,225.9,116,39.5,70.5,1.7,2.1,5.2,3.8,59.4,31.3,7,17.8,6.5,2.8,5.2,8.1,6,1.6,29.2,114.9,66.5,9.6,71.8,8.7
1787.7,217.9,1217.5,1871.4,504.9,746.2,35.7,83,51.3,67.8,260.2,125.5,45.4,84.7,1.9,1.9,4.9,2.6,58.6,32.5,6.7,27.6,9.7,4,6.5,5.4,7.2,1.6,35.4,152.1,49.5,6.3,66.6,9.7
1747.9,241.7,1255.8,1920.4,508.9,754.5,42.2,84,60.7,73,284.2,125.2,49.1,94.1,5.5,3.2,2.7,2.9,60.8,38.5,9.1,30.1,11.3,3.5,5.3,9.3,6,1.8,36.8,174.6,59.6,10.8,100.4,10.2
1828.7,263.7,1430.8,2075.8,526.9,772.3,44.5,85.9,54.8,75.8,278.3,124.6,49.8,103.1,2.4,2.8,3.2,3.5,59.3,41.7,7.7,28.1,13.5,4.2,6,8.9,6.6,2.2,45.2,165.3,67.2,23.9,78.8,12.7
1801.2,256.1,1331.4,1970.5,486.5,779.8,43.1,82.9,57.9,68,280.9,126,44.6,104,2.9,2.4,2.5,3.5,72.1,43.6,7.9,25.5,15.8,3.5,5.1,10.6,7.2,1.9,35.5,151.2,68.9,11.6,77.5,11.2
1665.1,241.3,1372.5,1881.5,513.5,840.1,37,84.6,55.6,72.7,284.2,124.1,50.2,103.6,3.3,2.3,4.2,4.2,79.1,49.2,6.5,29.5,11.7,3.3,4.5,12.9,7.9,2.8,41.7,163.8,70.2,7.3,86.1,11.4
1792.4,237.6,1430.9,1887,499.6,821.7,38.7,92.4,58.4,74.9,298.5,134.8,48.4,92.4,2.3,2.1,6.2,4,78.9,52.4,8.7,29.9,11.8,3.8,3.8,10.8,8,1.8,41.2,138.6,74.5,8.1,66.2,10.6
1609.2,221,1188.5,1740,447.5,706.4,29.1,66.5,51.2,63.3,249.5,82,37.8,89.2,2.5,2.5,2.8,4,70.4,40.7,7.2,25.6,10.5,2.7,3.8,11.7,7,2.5,30.6,159.8,95.1,10,86.9,11.7
1305.7,193.2,1168.3,1557.5,288.9,635.6,29.1,77.6,51.5,48.4,171.9,120.5,45.6,81.5,1.5,2.1,3.7,4,62,34.7,7.9,21.2,6.9,2.5,2.1,9.3,5.2,1.2,31.9,126.1,53.8,9.4,62.3,12.5
1852.2,221.9,1501.2,2041.9,552.7,843.4,38.9,88.5,57.3,88.7,281.5,138.3,49,113.5,2,2.5,3.2,5.1,72.4,39.3,8.4,27.9,11.1,4.5,3,9.3,7,2.3,42.3,143.2,79.7,8.4,72,14.6
