France,Luxembourg,Netherlands,Germany,Italy,United Kingdom,Ireland,Denmark,Greece,Portugal,Spain,Sweden,Finland,Austria,Malta,Estonia,Latvia,Lithuania,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Cyprus,Bulgaria,Romania,Croatia,Iceland,Norway,Switzerland,Turkey,Ukraine,Russia,Other European countries
1261.6,58,1584.7,1627.6,344.6,853.8,42.2,58,10.5,41.9,153.8,231,89.7,43.4,2.5,3.6,5.2,1.2,28.4,15,5.8,31.4,5,0.4,6,7.1,2.8,1.5,62,101.4,25.6,3.7,86.1,6.6
1301.2,58.2,1613.5,1692,387.8,844.1,42.7,60,11.2,41.7,167.8,241.2,60.4,45.9,2.2,5.6,1.4,2.3,33.3,13.2,5.4,18.8,6.1,0.7,7,8.5,3.3,1.8,59.7,134,20.2,3.6,71.7,6.7
1493.6,65.3,1807.9,2169.1,430.6,886.8,47.5,70.3,14.5,45.2,178.6,261.3,73.5,62.3,3,4.5,1.7,2.3,37.3,25,4.1,24.5,5.9,1.1,4.1,9.8,2.7,1.7,76.9,131.8,19.6,5.1,92,6.5
1281.4,62.8,1555.1,1876.1,344.6,633.3,42.2,54.1,7.5,43.8,153.2,223.1,66.2,44.1,3.8,1.6,17.4,1.9,22.6,15,3.6,19.5,4.3,5.9,7,10.2,2.3,1.4,73.1,81.5,18.3,3.5,91.2,5.1
1314.3,64.8,1579.6,1877.4,385.3,744.4,50.1,67,9.1,38,170.9,223.2,65.6,52.3,2.7,0.9,8.1,5.5,32.8,17.2,4.5,21.2,4.6,11.6,7.1,6.3,3.4,1.5,50.8,111.2,20.6,4.1,112.8,3.5
1487.2,69.3,1715.5,1968.1,413,827.2,48.9,71.7,8.5,46,173.2,248,72,54.2,2.1,0.7,4.2,3.9,33.7,21,4.3,25.8,6.4,7.5,4.2,12.1,2.8,1.2,56.1,101.2,21.6,3.8,77.2,4.8
1095,52.9,1303.5,1399.6,371.6,654.2,41.6,47.8,7.5,39,116.1,120,53.5,37.7,2.5,1.1,1.2,3.2,33.1,11.5,3.5,19.1,3.5,0.4,5.4,9,1.9,1.7,47.2,77.2,25.5,5,62.6,2.4
1112.9,52.3,1514.4,1629.9,284.4,699.7,43.5,60,8.7,31.3,111.6,223.1,68.4,47.5,1.6,0.8,4.4,3.8,26.3,14.9,4.6,16.5,3.8,0.6,4.5,13,3.9,1.8,49.8,99.8,18.8,1,79.7,3.6
1395.5,64.2,1694.2,1841.6,395.3,768.9,50.1,61.1,23.1,42.9,135.9,288.9,66.7,51.3,1.5,3.4,1.6,3.2,34,15.8,3.9,23,5.6,0.3,4.9,9,3.1,1.8,39.4,111.2,18.6,4.5,67.4,5
1414.1,63.4,1623.7,1913.3,374.4,742.6,50.8,60.5,17.8,43,152.8,259.3,67.1,58.3,2.8,2.5,0.9,2.9,33.9,17.4,4.9,18.6,4.6,-0.1,7.2,9,2.9,2.1,63.4,118.5,19.6,7.7,75.9,6
1375.2,58,1620.4,1881.6,348.5,859.7,54.3,56.6,12.6,43.9,162,283.2,67.4,52.2,2.2,1.4,1.3,4.9,28.9,18.3,5.7,26.4,5.1,0.3,6.8,8.8,2.4,2.1,59.6,151,20.3,4.8,85.3,5.7
